"","TYP_DIPL","DEGETU","CURSUS_LMD","RES"
"880","XA",1,"L","N"
"881","PF",3,"M","N"
"882","FH",5,"M","N"
"883","XA",1,"L","N"
"884","XA",1,"L","N"
"885","XA",1,"L","N"
"886","XA",1,"L","N"
"887","XB",5,"M","N"
"888","01",4,"M","O"
"889","IB",2,"M","N"
"891","FE",5,"M","O"
"892","XB",5,"M","O"
"893","XB",5,"M","O"
"894","XB",4,"M","N"
"895","CY",1,"L","N"
"896","XA",3,"L","O"
"897","XA",3,"L","O"
"898","XB",5,"M","O"
"899","XA",1,"L","N"
"900","CB",1,"L","N"
"901","PG",3,"L","O"
"902","CB",1,"L","N"
"903","DP",3,"L","O"
"904","XB",5,"M","O"
"905","XA",2,"L","N"
"906","XA",2,"L","N"
"907","XB",5,"M","O"
"908","XA",3,"L","O"
"909","FI",3,"M","N"
"910","XA",1,"L","N"
"911","DP",3,"L","O"
"912","XA",1,"L","N"
"913","CB",1,"L","N"
"914","XA",2,"L","N"
"915","XA",1,"L","N"
"916","XA",3,"L","O"
"917","01",4,"M","N"
"918","XA",1,"L","N"
"919","XB",4,"M","N"
"920","CB",2,"L","N"
"921","XA",1,"L","N"
"922","CB",1,"L","N"
"923","CB",2,"L","O"
"924","XA",1,"L","N"
"925","XB",4,"M","N"
"926","XA",2,"L","N"
"927","XB",5,"M","O"
"928","XA",1,"L","N"
"929","XB",4,"M","N"
"930","XA",2,"L","N"
"931","XB",4,"M","N"
"932","XA",3,"L","O"
"933","XA",2,"L","N"
"934","XA",3,"L","O"
"935","XA",3,"L","N"
"936","XB",4,"M","N"
"938","PF",5,"M","O"
"939","XB",5,"M","O"
"940","XA",3,"L","O"
"941","XA",1,"L","N"
"942","IB",2,"M","N"
"943","XB",4,"M","N"
"944","XA",1,"L","N"
"945","XA",1,"L","N"
"946","XA",1,"L","N"
"947","XA",3,"L","O"
"948","XA",2,"L","N"
"949","XB",5,"M","O"
"950","FH",6,"M","O"
"951","XB",5,"M","O"
"952","XB",4,"M","N"
"953","XA",2,"L","N"
"954","FI",3,"M","N"
"955","IB",5,"M","N"
"956","XB",5,"M","O"
"957","CB",2,"L","O"
"958","XA",3,"L","O"
"959","CY",1,"L","N"
"960","XA",2,"L","N"
"961","IB",4,"M","N"
"962","CY",1,"L","N"
"963","IB",6,"M","O"
"964","IB",6,"M","O"
"965","IB",2,"M","N"
"966","IB",5,"M","N"
"967","XA",2,"L","N"
"968","XA",2,"L","N"
"969","IB",2,"M","N"
"970","IB",3,"M","N"
"971","XB",4,"M","N"
"972","XA",2,"L","N"
"974","XB",5,"M","O"
"975","CB",1,"L","N"
"976","XA",1,"L","N"
"977","JD",6,"M","O"
"979","XA",1,"L","N"
"980","XA",3,"L","O"
"983","XA",1,"L","N"
"984","01",0,"L","O"
"986","CY",1,"L","N"
"987","XA",1,"L","N"
"988","FN",4,"M","N"
"989","XA",3,"L","N"
"990","JC",6,"M","N"
"991","XA",2,"L","N"
"992","DP",3,"L","O"
"993","CB",1,"L","N"
"994","XA",3,"L","O"
"995","XA",1,"L","N"
"996","JC",6,"M","N"
"997","XB",5,"M","O"
"998","XA",3,"L","N"
"999","IB",6,"M","N"
"1000","CB",2,"L","O"
"1002","CB",2,"L","O"
"1003","PM",3,"L","N"
"1004","XA",2,"L","N"
"1005","JD",6,"M","N"
"1006","XB",4,"M","N"
"1007","CB",1,"L","N"
"1008","CB",2,"L","O"
"1009","PK",2,"L","N"
"1010","FN",3,"M","N"
"1011","XA",2,"L","N"
"1012","CY",1,"L","N"
"1013","XA",1,"L","N"
"1014","FI",5,"M","O"
